domain,nameserver,ip,request,response,tc
politie.nl,a28-67.akam.net.,95.100.173.67,93,4091,tc
politie.nl,a6-67.akam.net.,23.211.133.67,93,4059,tc
tno.nl,ns1.surfnet.nl.,192.87.106.101,89,4057,
politie.nl,a5-67.akam.net.,95.100.168.67,93,4029,tc
politie.nl,a1-90.akam.net.,193.108.91.90,93,3998,tc
iuc-noord.nl,ns2.surfnet.nl.,192.87.36.2,95,3984,tc
duo.nl,ns2.surfnet.nl.,192.87.36.2,89,3982,tc
politie.nl,a9-66.akam.net.,184.85.248.66,93,3943,tc
politie.nl,a10-67.akam.net.,96.7.50.67,93,3940,tc
sso-noord.nl,ns2.surfnet.nl.,192.87.36.2,95,3884,tc
rivm.nl,ns1.surfnet.nl.,192.87.106.101,90,3779,
rivm.nl,ns2.surfnet.nl.,192.87.36.2,90,3779,
fcinet.org,ns1.fcinet.org.,87.213.113.101,93,3757,
fcinet.org,ns2.fcinet.org.,87.213.113.102,93,3757,
parlement.nl,a4-65.akam.net.,72.246.46.65,95,3658,
parlement.nl,a1-191.akam.net.,193.108.91.191,95,3658,
parlement.nl,a7-66.akam.net.,23.61.199.66,95,3658,
parlement.nl,a28-64.akam.net.,95.100.173.64,95,3658,
parlement.nl,a3-66.akam.net.,96.7.49.66,95,3658,
parlement.nl,a12-66.akam.net.,184.26.160.66,95,3658,
inburgeren.nl,ns2.surfnet.nl.,192.87.36.2,96,3645,tc
detweedekameraanhetwerk.nl,a1-191.akam.net.,193.108.91.191,109,3640,
detweedekameraanhetwerk.nl,a7-66.akam.net.,23.61.199.66,109,3640,
detweedekameraanhetwerk.nl,a3-66.akam.net.,96.7.49.66,109,3640,
detweedekameraanhetwerk.nl,a4-65.akam.net.,72.246.46.65,109,3640,
detweedekameraanhetwerk.nl,a12-66.akam.net.,184.26.160.66,109,3640,
detweedekameraanhetwerk.nl,a28-64.akam.net.,95.100.173.64,109,3640,
internationalstudy.nl,ns2.surfnet.nl.,192.87.36.2,104,3605,tc
knmi.nl,ns1.surfnet.nl.,192.87.106.101,90,3493,
knmi.nl,ns2.surfnet.nl.,192.87.36.2,90,3493,
tweedekamer.nl,a12-66.akam.net.,184.26.160.66,97,3493,
tweedekamer.nl,a1-191.akam.net.,193.108.91.191,97,3493,
tweedekamer.nl,a3-66.akam.net.,96.7.49.66,97,3493,
tweedekamer.nl,a28-64.akam.net.,95.100.173.64,97,3493,
tweedekamer.nl,a7-66.akam.net.,23.61.199.66,97,3493,
tweedekamer.nl,a4-65.akam.net.,72.246.46.65,97,3493,
halt.nl,ns2.csnet.nl.,194.69.18.18,90,3414,
halt.nl,ns1.csnet.nl.,194.69.16.18,90,3386,
rijksvaccinatieprogramma.nl,ns2.surfnet.nl.,192.87.36.2,110,3385,
rijksvaccinatieprogramma.nl,ns1.surfnet.nl.,192.87.106.101,110,3385,
webgispublisher.nl,dns03.nieuwland.nl.,82.148.193.165,101,3355,
webgispublisher.nl,dns07.nieuwland.nl.,62.165.70.85,101,3355,
webgispublisher.nl,dns04.nieuwland.nl.,62.165.70.80,101,3355,
politieacademie.nl,ns2.surfnet.nl.,192.87.36.2,101,3222,
emissieregistratie.nl,ns1.surfnet.nl.,192.87.106.101,104,3207,
emissieregistratie.nl,ns2.surfnet.nl.,192.87.36.2,104,3207,
houseofrepresentatives.nl,a28-64.akam.net.,95.100.173.64,108,3099,
houseofrepresentatives.nl,a3-66.akam.net.,96.7.49.66,108,3099,
houseofrepresentatives.nl,a12-66.akam.net.,184.26.160.66,108,3099,
houseofrepresentatives.nl,a1-191.akam.net.,193.108.91.191,108,3099,
houseofrepresentatives.nl,a4-65.akam.net.,72.246.46.65,108,3099,
houseofrepresentatives.nl,a7-66.akam.net.,23.61.199.66,108,3099,
