URL,Organisatietype,Organisatie,Suborganisatie,Afdeling,Bezoeken/mnd,Voldoet,Totaal,IPv6,DNSSEC,HTTPS,CSP,RefPol.,X-Cont.,X-Frame.,Testdatum,Totaal,IPv6,DNSSEC,STARTTLS en DANE,DMARC,DKIM,SPF,Testdatum,Platformgebruik
http://www.rijksoverheid.nl,Rijksoverheid,AZ,DPC,Online Advies,16330823,ja,ja,ja,ja,ja,waarschuwing,ja,ja,ja,20-2-2023,ja,ja,ja,,ja,,ja,13-2-2023,Platform Rijksoverheid Online (AZ/DPC)
http://www.rivm.nl,Rijksoverheid,VWS,RIVM,,2894650,nee,nee,ja,ja,,waarschuwing,ja,ja,ja,20-2-2023,nee,ja,ja,,ja,nee,nee,13-2-2023,
http://coronadashboard.rijksoverheid.nl,Rijksoverheid,VWS,,Kerndepartement/PDC19,2239213,ja,nee,ja,nee,ja,waarschuwing,ja,ja,ja,20-2-2023,nee,ja,nee,,ja,nee,nee,13-2-2023,
http://www.government.nl,Rijksoverheid,AZ,DPC,Online Advies,2199432,ja,ja,ja,ja,ja,waarschuwing,ja,ja,ja,20-2-2023,ja,ja,ja,,ja,,ja,13-2-2023,Platform Rijksoverheid Online (AZ/DPC)
http://www.nederlandwereldwijd.nl,Rijksoverheid,BUZA,,,1682597,ja,ja,ja,ja,ja,ja,ja,ja,ja,20-2-2023,ja,ja,ja,,ja,,ja,13-2-2023,Platform Rijksoverheid Online (AZ/DPC)
http://lci.rivm.nl,Rijksoverheid,VWS,RIVM,,1045281,nee,ja,ja,ja,ja,waarschuwing,waarschuwing,ja,ja,20-2-2023,nee,ja,ja,,ja,nee,nee,13-2-2023,
http://www.defensie.nl,Rijksoverheid,DEF,,Directie Communicatie,816824,ja,ja,ja,ja,ja,waarschuwing,ja,ja,ja,20-2-2023,ja,ja,ja,,ja,,ja,13-2-2023,Platform Rijksoverheid Online (AZ/DPC)
http://www.werkenvoornederland.nl,Rijksoverheid,BZK,P-direkt,,660063,ja,ja,ja,ja,ja,waarschuwing,waarschuwing,ja,ja,20-2-2023,ja,ja,ja,,ja,,ja,13-2-2023,Carriere Sites Overheid (BZK)
http://reizentijdenscorona.rijksoverheid.nl,Rijksoverheid,VWS,,Kerndepartement/PDC19,587521,ja,nee,ja,ja,nee,waarschuwing,waarschuwing,waarschuwing,info,20-2-2023,ja,ja,ja,,ja,,ja,13-2-2023,
http://quarantainecheck.rijksoverheid.nl,Rijksoverheid,VWS,,Kerndepartement/PDC19,571912,ja,nee,ja,ja,nee,waarschuwing,waarschuwing,waarschuwing,info,20-2-2023,ja,ja,ja,,ja,,ja,13-2-2023,
http://www.rijkswaterstaat.nl,Rijksoverheid,IenW,RWS,,489225,ja,nee,nee,ja,nee,waarschuwing,waarschuwing,waarschuwing,ja,20-2-2023,ja,ja,ja,,ja,,ja,13-2-2023,
http://www.netherlandsworldwide.nl,Rijksoverheid,BUZA,,,400057,ja,ja,ja,ja,ja,ja,ja,ja,ja,20-2-2023,ja,ja,ja,,ja,,ja,13-2-2023,Platform Rijksoverheid Online (AZ/DPC)
http://www.rvo.nl,Rijksoverheid,EZK,RVO,,362115,ja,nee,nee,ja,nee,waarschuwing,ja,ja,ja,20-2-2023,nee,ja,ja,,ja,nee,nee,13-2-2023,
http://mijn.rvo.nl,Rijksoverheid,EZK,RVO,,325812,ja,ja,ja,ja,ja,waarschuwing,waarschuwing,ja,ja,20-2-2023,nee,ja,ja,,ja,nee,nee,13-2-2023,
http://www.geneesmiddeleninformatiebank.nl,Overheid,VWS,CBG,,300391,,ja,ja,ja,ja,waarschuwing,waarschuwing,waarschuwing,info,20-2-2023,ja,ja,ja,,ja,,ja,13-2-2023,
http://waterinfo.rws.nl,Rijksoverheid,IenW,RWS,,289741,ja,nee,nee,ja,nee,waarschuwing,waarschuwing,ja,info,20-2-2023,nee,ja,ja,,ja,nee,nee,13-2-2023,
http://www.nvwa.nl,Rijksoverheid,LNV,NVWA,,266362,ja,ja,ja,ja,ja,waarschuwing,ja,ja,ja,20-2-2023,ja,ja,ja,,ja,,ja,13-2-2023,Platform Rijksoverheid Online (AZ/DPC)
http://www.rwsverkeersinfo.nl,Rijksoverheid,IenW,RWS,,255589,ja,nee,nee,ja,nee,waarschuwing,ja,ja,ja,20-2-2023,ja,ja,ja,,ja,,ja,13-2-2023,
http://www.justis.nl,Rijksoverheid,JenV,Justis,,246106,ja,ja,ja,ja,ja,waarschuwing,ja,ja,ja,20-2-2023,nee,ja,ja,,ja,nee,ja,13-2-2023,Blueprint Platform (JenV)
http://rijksvaccinatieprogramma.nl,Rijksoverheid,VWS,RIVM,,245260,nee,nee,nee,ja,,waarschuwing,,,,20-2-2023,nee,ja,ja,ja,nee,ja,ja,13-2-2023,
http://www.om.nl,Overheid,JenV,OM,,244400,,ja,ja,ja,ja,waarschuwing,ja,ja,ja,20-2-2023,ja,ja,ja,,ja,,ja,13-2-2023,Platform Rijksoverheid Online (AZ/DPC)
http://www.omgevingsloket.nl,Rijksoverheid,BZK,,,221406,ja,nee,nee,ja,nee,ja,ja,ja,ja,20-2-2023,nee,ja,ja,,ja,nee,nee,13-2-2023,
http://mijnvraagovercorona.nl,Rijksoverheid,VWS,,Kerndepartement/PDC19,203126,ja,ja,ja,ja,ja,waarschuwing,ja,ja,ja,21-2-2023,ja,ja,ja,,ja,,ja,14-2-2023,StandaardPlatform CloudServices (BZK/Logius)
http://www.koninklijkhuis.nl,Overheid,AZ,RVD,CKH,189296,,ja,ja,ja,ja,waarschuwing,ja,ja,ja,20-2-2023,ja,ja,ja,,ja,,ja,13-2-2023,Platform Rijksoverheid Online (AZ/DPC)
http://www.verbeterjehuis.nl,Rijksoverheid,BZK,,,187260,nee,nee,nee,ja,ja,waarschuwing,ja,ja,info,20-2-2023,nee,ja,ja,,waarschuwing,nee,nee,15-2-2023,
http://www.netherlandsandyou.nl,Rijksoverheid,BUZA,,,165700,ja,ja,ja,ja,ja,waarschuwing,ja,ja,ja,20-2-2023,ja,ja,ja,,ja,,ja,13-2-2023,Platform Rijksoverheid Online (AZ/DPC)
http://www.zorginstituutnederland.nl,Rijksoverheid,VWS,ZIN,,160363,ja,ja,ja,ja,ja,waarschuwing,ja,ja,ja,20-2-2023,ja,ja,ja,,ja,,ja,13-2-2023,Platform Rijksoverheid Online (AZ/DPC)
http://www.cbg-meb.nl,Overheid,VWS,CBG,,156980,,ja,ja,ja,ja,waarschuwing,ja,ja,ja,20-2-2023,ja,ja,ja,,ja,,ja,13-2-2023,Platform Rijksoverheid Online (AZ/DPC)
http://www.nationaalarchief.nl,Overheid,OCW,NA,,147990,,nee,ja,ja,nee,waarschuwing,ja,ja,ja,20-2-2023,nee,ja,ja,ja,ja,nee,ja,13-2-2023,
http://www.arboportaal.nl,Rijksoverheid,SZW,,DGW/G&VW,143441,ja,ja,ja,ja,ja,waarschuwing,ja,ja,ja,20-2-2023,ja,ja,ja,,ja,,ja,13-2-2023,Platform Rijksoverheid Online (AZ/DPC)
http://www.higherlevel.nl,Rijksoverheid,EZK,RVO,,140206,ja,ja,ja,ja,ja,waarschuwing,ja,ja,ja,20-2-2023,ja,ja,ja,,ja,,ja,13-2-2023,
http://www.p-direkt.nl,Rijksoverheid,BZK,P-direkt,,120493,ja,ja,ja,ja,ja,waarschuwing,ja,ja,ja,20-2-2023,ja,ja,ja,,ja,,ja,13-2-2023,Platform Rijksoverheid Online (AZ/DPC)
