domain,nameserver,ip,request,response,tc
2020.jaarverslagrechtspraak.nl,www.jaarverslagrechtspraak.nl.,,101,,
20210215.nationaleconferentieduurzamemobiliteit.nl,nationaleconferentieduurzamemobiliteit.nl.,,121,,
20210215.nationaleconferentieduurzamemobiliteit.nl,ns0.rijksoverheidnl.com.,185.136.96.82,121,416,
20210215.nationaleconferentieduurzamemobiliteit.nl,ns2.rijksoverheidnl.eu.,94.228.142.136,121,300,
20210215.nationaleconferentieduurzamemobiliteit.nl,ns3.rijksoverheidnl.org.,145.100.177.67,121,300,
20210215.nationaleconferentieduurzamemobiliteit.nl,ns1.rijksoverheidnl.nl.,178.22.85.27,121,300,
2todrive.nl,ns5.speak.nl.,136.144.222.49,82,82,tc
2todrive.nl,ns1.speak.nl.,185.146.216.83,82,420,
2todrive.nl,ns2.speak.nl.,185.146.216.84,82,82,tc
55plus.datawonen.nl,datawonen.nl.,,90,,
55plus.datawonen.nl,ns1.rijksoverheidnl.nl.,178.22.85.27,90,240,
55plus.datawonen.nl,ns2.rijksoverheidnl.eu.,94.228.142.136,90,240,
55plus.datawonen.nl,ns3.rijksoverheidnl.org.,145.100.177.67,90,240,
55plus.datawonen.nl,ns0.rijksoverheidnl.com.,185.136.96.82,90,356,
a16rotterdam.nl,ns1.rijksoverheidnl.nl.,178.22.85.27,86,1587,
a16rotterdam.nl,ns0.rijksoverheidnl.com.,185.136.96.82,86,86,tc
a16rotterdam.nl,ns3.rijksoverheidnl.org.,145.100.177.67,86,1587,
a16rotterdam.nl,ns2.rijksoverheidnl.eu.,94.228.142.136,86,1587,
a1oost.nl,ns2.rijksoverheidnl.eu.,94.228.142.136,80,1527,
a1oost.nl,ns0.rijksoverheidnl.com.,185.136.96.82,80,80,tc
a1oost.nl,ns3.rijksoverheidnl.org.,145.100.177.67,80,1527,
a1oost.nl,ns1.rijksoverheidnl.nl.,178.22.85.27,80,1527,
a27a12ringutrecht.nl,ns2.rijksoverheidnl.eu.,94.228.142.136,91,1748,
a27a12ringutrecht.nl,ns3.rijksoverheidnl.org.,145.100.177.67,91,1748,
a27a12ringutrecht.nl,ns0.rijksoverheidnl.com.,185.136.96.82,91,91,tc
a27a12ringutrecht.nl,ns1.rijksoverheidnl.nl.,178.22.85.27,91,1748,
a27houtenhooipolder.nl,ns0.rijksoverheidnl.com.,185.136.96.82,93,93,tc
a27houtenhooipolder.nl,ns3.rijksoverheidnl.org.,145.100.177.67,93,1687,
a27houtenhooipolder.nl,ns1.rijksoverheidnl.nl.,178.22.85.27,93,1687,
a27houtenhooipolder.nl,ns2.rijksoverheidnl.eu.,94.228.142.136,93,1687,
a28a1knooppunthoevelaken.nl,ns2.rijksoverheidnl.eu.,94.228.142.136,98,1737,
a28a1knooppunthoevelaken.nl,ns3.rijksoverheidnl.org.,145.100.177.67,98,1737,
a28a1knooppunthoevelaken.nl,ns1.rijksoverheidnl.nl.,178.22.85.27,98,1737,
a28a1knooppunthoevelaken.nl,ns0.rijksoverheidnl.com.,185.136.96.82,98,98,tc
a4burgerveen-n14.nl,ns3.rijksoverheidnl.org.,145.100.177.67,90,1627,
a4burgerveen-n14.nl,ns0.rijksoverheidnl.com.,185.136.96.82,90,90,tc
a4burgerveen-n14.nl,ns1.rijksoverheidnl.nl.,178.22.85.27,90,1627,
a4burgerveen-n14.nl,ns2.rijksoverheidnl.eu.,94.228.142.136,90,1627,
a4haaglanden-n14.nl,ns3.rijksoverheidnl.org.,145.100.177.67,90,1657,
a4haaglanden-n14.nl,ns1.rijksoverheidnl.nl.,178.22.85.27,90,1657,
a4haaglanden-n14.nl,ns0.rijksoverheidnl.com.,185.136.96.82,90,90,tc
a4haaglanden-n14.nl,ns2.rijksoverheidnl.eu.,94.228.142.136,90,1657,
a58tilburgbreda.nl,ns3.rijksoverheidnl.org.,145.100.177.67,89,1628,
a58tilburgbreda.nl,ns0.rijksoverheidnl.com.,185.136.96.82,89,89,tc
a58tilburgbreda.nl,ns2.rijksoverheidnl.eu.,94.228.142.136,89,1628,
a58tilburgbreda.nl,ns1.rijksoverheidnl.nl.,178.22.85.27,89,1628,
a6zonlelystaddronten.nl,ns3.rijksoverheidnl.org.,145.100.177.67,94,1697,
a6zonlelystaddronten.nl,ns1.rijksoverheidnl.nl.,178.22.85.27,94,1697,
a6zonlelystaddronten.nl,ns0.rijksoverheidnl.com.,185.136.96.82,94,94,tc
a6zonlelystaddronten.nl,ns2.rijksoverheidnl.eu.,94.228.142.136,94,1697,
a7a8.nl,ns1.rijksoverheidnl.nl.,178.22.85.27,78,1537,
a7a8.nl,ns0.rijksoverheidnl.com.,185.136.96.82,78,78,tc
a7a8.nl,ns3.rijksoverheidnl.org.,145.100.177.67,78,1537,
a7a8.nl,ns2.rijksoverheidnl.eu.,94.228.142.136,78,1537,
aanbiedersmedicijnen.nl,ns0.rijksoverheidnl.com.,185.136.96.82,94,94,tc
aanbiedersmedicijnen.nl,ns1.rijksoverheidnl.nl.,178.22.85.27,94,1818,
aanbiedersmedicijnen.nl,ns2.rijksoverheidnl.eu.,94.228.142.136,94,1818,
aanbiedersmedicijnen.nl,ns3.rijksoverheidnl.org.,145.100.177.67,94,1818,
aandachtvoorelkaar.nl,ns3.rijksoverheidnl.org.,145.100.177.67,92,1743,
aandachtvoorelkaar.nl,ns1.rijksoverheidnl.nl.,178.22.85.27,92,1743,
aandachtvoorelkaar.nl,ns0.rijksoverheidnl.com.,185.136.96.82,92,92,tc
aandachtvoorelkaar.nl,ns2.rijksoverheidnl.eu.,94.228.142.136,92,1743,
aandeslagmetdeomgevingswet.nl,ns1.rijksoverheidnl.nl.,178.22.85.27,100,1945,
aandeslagmetdeomgevingswet.nl,ns0.rijksoverheidnl.com.,185.136.96.82,100,100,tc
aandeslagmetdeomgevingswet.nl,ns2.rijksoverheidnl.eu.,94.228.142.136,100,1945,
aandeslagmetdeomgevingswet.nl,ns3.rijksoverheidnl.org.,145.100.177.67,100,1945,
aaninhetdonker.nl,ns0.rijksoverheidnl.com.,185.136.96.82,88,88,tc
aaninhetdonker.nl,ns3.rijksoverheidnl.org.,145.100.177.67,88,1648,
aaninhetdonker.nl,ns2.rijksoverheidnl.eu.,94.228.142.136,88,1648,
aaninhetdonker.nl,ns1.rijksoverheidnl.nl.,178.22.85.27,88,1648,
aanmelder.nl,ns-1294.awsdns-33.org.,205.251.197.14,83,72,tc
aanmelder.nl,ns-1992.awsdns-57.co.uk.,205.251.199.200,83,72,tc
aanmelder.nl,ns-695.awsdns-22.net.,205.251.194.183,83,72,tc
aanmelder.nl,ns-96.awsdns-12.com.,205.251.192.96,83,72,tc
aanpakadreskwaliteit.pleio.nl,odcn.pleio.nl.,,100,,
aanpaklerarentekort.nl,ns1.rijksoverheidnl.nl.,178.22.85.27,93,1753,
aanpaklerarentekort.nl,ns2.rijksoverheidnl.eu.,94.228.142.136,93,1753,
aanpaklerarentekort.nl,ns3.rijksoverheidnl.org.,145.100.177.67,93,1753,
aanpaklerarentekort.nl,ns0.rijksoverheidnl.com.,185.136.96.82,93,93,tc
aanpakringzuid.nl,ns3.rijksoverheidnl.org.,145.100.177.67,88,1764,
aanpakringzuid.nl,ns0.rijksoverheidnl.com.,185.136.96.82,88,88,tc
aanpakringzuid.nl,ns2.rijksoverheidnl.eu.,94.228.142.136,88,1764,
aanpakringzuid.nl,ns1.rijksoverheidnl.nl.,178.22.85.27,88,1764,
aanpakstikstof.nl,ns2.rijksoverheidnl.eu.,94.228.142.136,88,1703,
aanpakstikstof.nl,ns1.rijksoverheidnl.nl.,178.22.85.27,88,1703,
aanpakstikstof.nl,ns3.rijksoverheidnl.org.,145.100.177.67,88,1703,
aanpakstikstof.nl,ns0.rijksoverheidnl.com.,185.136.96.82,88,88,tc
aanvragen.nza.nl,aanvragen.nza.nl.cname.mendix.net.,,87,,
aanvragen.nza.nl,elb.bbl-prod-2.eu-central-1.mendixcloud.net.,,87,,
aardgasvrijewijken.nl,ns1.dictu.nl.,145.12.216.1,92,120,tc
aardgasvrijewijken.nl,ns2.dictu.nl.,145.69.216.1,92,120,tc
abdleerportaal.nl,ns0.rijksoverheidnl.com.,185.136.96.82,88,88,tc
abdleerportaal.nl,ns3.rijksoverheidnl.org.,145.100.177.67,88,1484,
abdleerportaal.nl,ns2.rijksoverheidnl.eu.,94.228.142.136,88,1484,
abdleerportaal.nl,ns1.rijksoverheidnl.nl.,178.22.85.27,88,1484,
aboutnetherlandscustoms.nl,ns1.rijksoverheidnl.nl.,178.22.85.27,97,1793,
aboutnetherlandscustoms.nl,ns0.rijksoverheidnl.com.,185.136.96.82,97,97,tc
aboutnetherlandscustoms.nl,ns3.rijksoverheidnl.org.,145.100.177.67,97,1793,
aboutnetherlandscustoms.nl,ns2.rijksoverheidnl.eu.,94.228.142.136,97,1793,
academieinternationalebetrekkingen.nl,ns3.rijksoverheidnl.org.,145.100.177.67,108,1610,
academieinternationalebetrekkingen.nl,ns0.rijksoverheidnl.com.,185.136.96.82,108,108,tc
academieinternationalebetrekkingen.nl,ns2.rijksoverheidnl.eu.,94.228.142.136,108,1610,
academieinternationalebetrekkingen.nl,ns1.rijksoverheidnl.nl.,178.22.85.27,108,1610,
academievoorinternationalebetrekkingen.nl,ns3.rijksoverheidnl.org.,145.100.177.67,112,1943,
academievoorinternationalebetrekkingen.nl,ns1.rijksoverheidnl.nl.,178.22.85.27,112,1943,
academievoorinternationalebetrekkingen.nl,ns2.rijksoverheidnl.eu.,94.228.142.136,112,1943,
academievoorinternationalebetrekkingen.nl,ns0.rijksoverheidnl.com.,185.136.96.82,112,112,tc
academyforinternationalrelations.nl,ns3.rijksoverheidnl.org.,145.100.177.67,106,1883,
academyforinternationalrelations.nl,ns2.rijksoverheidnl.eu.,94.228.142.136,106,1883,
academyforinternationalrelations.nl,ns0.rijksoverheidnl.com.,185.136.96.82,106,106,tc
